X_dataobs_,State,Account_Length,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
550,FL,79,no,no,0,130.2,119,290.9,121,194.8,140,14,6,3,FALSE,1,144.4106752,100.221701
551,VA,153,no,no,0,195.4,107,154.6,96,142.8,97,11.6,6,1,FALSE,0,92.35222906,111.0220817
552,KS,110,yes,no,0,293.3,79,188.5,90,266.9,91,14.5,4,0,TRUE,0,101.0990814,172.8787863
553,KS,163,no,no,0,191.3,89,193.9,87,268.4,121,12.8,4,1,FALSE,0,101.2475433,112.3077601
554,DC,126,no,no,0,122.4,88,143.8,111,157,106,11.5,3,1,FALSE,1,124.5340393,84.28419802
555,ME,105,no,yes,33,209.6,68,146.9,140,121,131,10.6,3,2,FALSE,0,114.14429,138.6241493
556,LA,172,no,no,0,215.7,140,146.3,84,264.6,83,7.1,1,3,FALSE,0,117.0631926,146.6098797
557,TX,97,no,no,0,144.2,91,226.7,137,144.6,72,13.8,4,3,FALSE,1,112.4182391,75.86332272
558,NJ,95,yes,yes,37,220.2,109,185.3,99,205.1,82,4.1,2,0,TRUE,0,37.82300107,92.99002292
559,DE,87,no,no,0,256.2,105,160.7,102,249.4,80,7.4,2,4,FALSE,0,72.94225912,138.9867308
560,VT,97,no,no,0,112.7,119,217.7,109,152.1,76,6.5,5,1,FALSE,1,126.7437914,64.04418635
561,GA,76,no,no,0,299.5,125,226.7,92,210.7,134,13.7,4,0,TRUE,0,98.0263664,170.8953216
562,TX,140,no,no,0,194.8,107,170.9,99,225.1,93,13.9,4,0,FALSE,0,60.16216188,83.84985575
563,MT,169,no,no,0,100.8,112,230,69,193.6,95,9.5,2,0,FALSE,1,148.3468103,89.36371265
564,ND,68,no,yes,22,82.5,97,289.9,94,180,114,4.8,4,3,FALSE,1,175.3650319,108.5843863
565,NJ,122,no,yes,34,146.4,104,89.7,103,220,91,15.6,4,2,FALSE,1,135.5926194,124.7659718
566,MO,36,no,no,0,177.9,129,224.6,87,306.3,102,10.8,6,2,FALSE,1,139.0581838,135.6944288
567,CO,120,no,yes,27,153.5,84,194,73,256.5,94,10.2,7,5,FALSE,1,98.40032684,74.04923837
568,KS,121,no,no,0,150.7,105,197.3,133,169,116,9.2,15,1,FALSE,1,90.12671831,56.64407032
569,NC,64,no,yes,19,180.1,106,127.5,92,237.4,118,7.5,3,0,FALSE,0,97.72447299,106.6068037
570,MT,13,no,yes,31,265.3,94,147.6,95,259.3,117,12.9,1,1,FALSE,0,126.8181227,178.1989726
571,DE,106,no,no,0,128.6,83,134,114,210.6,113,11.4,2,0,FALSE,1,115.4876347,79.20998112
572,ND,88,no,no,0,161.5,92,173.5,108,206.2,95,7.9,4,2,FALSE,1,67.68982994,45.47390904
573,VA,74,no,no,0,165.3,120,198.5,106,208.5,102,9.8,3,1,FALSE,1,67.61274487,45.49537454
574,IL,83,no,no,0,195,92,210.5,83,180.6,92,11,13,0,FALSE,0,48.08352742,67.01710227
575,CO,111,no,yes,24,205.5,114,219.3,99,215.9,95,14,4,1,FALSE,0,41.67450654,75.26424446
576,MT,50,no,yes,22,252.9,112,177.9,99,158.4,146,8.5,4,3,FALSE,0,89.73027184,144.1299491
577,WV,153,no,yes,28,235.6,74,227.9,37,170.3,103,15.4,9,0,FALSE,0,100.5184253,137.5022327
578,ME,88,no,no,0,192,91,127.6,127,155.6,125,7.5,5,1,FALSE,0,95.40344069,113.2200395
579,WI,131,no,yes,39,69.1,122,101.3,136,104.8,94,9.1,4,0,FALSE,1,212.3151328,169.2882397
580,MO,79,no,no,0,261.7,97,210.6,48,256.7,83,6,3,3,TRUE,0,92.27077226,148.8855172
581,NY,140,no,no,0,235.5,81,257.2,130,103.1,111,11.5,4,2,FALSE,0,128.9492336,156.5562884
582,AR,54,no,yes,39,206.9,143,127.8,72,199.2,120,9.2,1,3,FALSE,0,104.3471516,131.1270065
583,WY,87,no,yes,22,263.8,65,103.4,115,208.1,109,8.5,3,3,FALSE,0,109.4333168,169.0588109
584,CA,96,no,yes,31,183.4,126,195.5,106,180.1,93,10.5,5,1,FALSE,0,57.1013025,62.74819165
585,CA,79,no,no,0,157.6,85,194.1,92,231.5,86,9.4,10,5,TRUE,1,79.04151791,50.6834828
586,MN,55,no,no,0,175.6,147,161.8,118,289.5,55,9.3,4,0,FALSE,0,133.4621588,134.6519596
587,AK,130,no,no,0,242.5,101,102.8,114,142.4,89,9.3,2,2,FALSE,0,115.7555232,162.5764756
588,VA,34,no,no,0,151,102,131.4,101,186.6,86,9.9,7,0,FALSE,1,118.3996239,102.953462
589,CO,139,no,no,0,138.1,103,164.5,100,134.9,63,8.3,2,1,FALSE,1,123.4641522,94.88779765
590,MT,109,no,no,0,264.7,69,305,120,197.4,86,9.5,9,1,TRUE,0,125.4610276,165.7350409
591,NE,63,no,no,0,211.2,80,237.7,93,259.2,58,12.3,2,0,FALSE,0,95.63620422,116.1255905
592,VT,152,no,no,0,197.1,126,130.1,76,78.1,100,7.4,4,3,FALSE,0,154.0978543,168.3398771
593,ND,147,no,no,0,205.3,95,166.7,128,240.6,84,7.8,4,1,FALSE,0,76.79978201,106.0192717
594,GA,112,no,yes,22,181.8,110,228.1,123,262.7,141,9.2,4,2,FALSE,1,96.3774627,95.14288961
595,OR,120,no,no,0,252,120,150.2,106,151.8,96,9.6,1,2,FALSE,0,77.97869848,139.8005047
596,MT,27,no,no,0,193.8,102,118.9,104,135.9,124,9.2,3,0,FALSE,0,129.803158,144.5285601
597,WY,171,no,no,0,231.2,135,188.7,74,206.9,124,12.3,1,1,FALSE,0,87.32345331,129.8100182
598,GA,101,no,yes,33,200.1,108,188.9,122,205.1,90,15.5,4,0,FALSE,0,42.9518099,74.62977229
599,WV,32,no,yes,26,266.7,109,232.3,107,212.8,98,16.3,4,1,FALSE,0,93.62292176,150.0872875
600,CT,3,no,yes,36,118.1,117,221.5,125,103.9,89,11.9,6,2,FALSE,1,180.0177081,144.6118806
601,IL,151,no,no,0,175.3,106,144.3,87,160.2,88,11.8,5,0,FALSE,0,96.48674514,99.89790656
602,CO,60,no,no,0,125.1,99,248.8,62,211.3,79,11.2,3,3,FALSE,1,127.3358092,74.56142304
603,LA,43,no,no,0,241.9,101,129.4,121,264.8,104,5.9,3,1,FALSE,0,112.1497764,157.5733755
604,MA,42,no,no,0,241.2,134,116.5,114,152.2,91,10.6,4,0,FALSE,0,116.9865084,161.1153464
605,IN,84,no,no,0,217.1,99,236,68,118.3,120,9.4,4,1,FALSE,0,101.7782436,124.6315592
606,NY,65,no,no,0,195.4,110,181.2,109,178.5,105,8.9,4,0,FALSE,0,54.36413622,76.84789144
607,TX,75,yes,no,0,222.4,78,327,111,208,104,8.7,9,1,TRUE,0,137.9878177,151.521735
608,KS,116,no,no,0,189.5,90,189.8,118,205.8,83,13.1,2,1,FALSE,0,46.35891546,63.72937188
609,WV,107,no,no,0,123.1,100,158.4,82,256.1,82,9.3,5,0,FALSE,1,122.5167869,80.71614491
610,NE,189,no,yes,38,256.7,98,150.5,120,123,87,11.4,3,3,FALSE,0,135.52397,180.9796348
611,CO,63,no,yes,32,30.9,113,187,113,230.8,101,8.6,7,1,FALSE,1,200.1396942,122.592051
612,ME,176,no,no,0,223.2,76,214.4,131,154.4,80,10.1,2,3,FALSE,0,100.9501753,131.3955256
613,SC,108,no,no,0,187.4,101,199.9,126,216.1,107,12.6,8,1,FALSE,0,48.52445337,60.51627787
614,MN,13,no,yes,21,315.6,105,208.9,71,260.1,123,12.1,3,3,FALSE,0,147.3452384,210.6967079
615,CO,71,no,no,0,277.5,104,131.8,121,126.9,101,8.2,2,1,FALSE,0,117.4027621,178.4215481
616,KS,88,no,no,0,189.8,111,197.3,101,234.5,111,14.9,3,2,FALSE,0,52.14782698,66.99594852
617,MS,137,no,no,0,147.2,119,192.8,91,172.7,105,10.2,4,1,FALSE,1,91.11918938,54.55024224
618,NE,82,no,no,0,185.8,36,276.5,134,192.1,104,5.7,7,4,FALSE,1,118.0014807,113.2990372
619,NJ,92,no,yes,29,155.4,110,188.5,104,254.9,118,8,4,3,FALSE,1,91.98609728,68.33481867
620,WI,165,no,no,0,154.2,91,268.6,108,188.8,99,10.9,4,6,FALSE,1,121.1571548,93.35722179
621,MT,96,no,no,0,97.6,98,105.5,118,220.2,105,11.6,9,1,FALSE,1,156.05262,112.9129206
622,AR,156,no,no,0,178.8,94,178.4,97,169.2,77,7.5,3,1,FALSE,0,82.73748189,85.28409876
623,WA,63,no,no,0,149.3,104,273.6,75,206.6,72,9.1,4,0,FALSE,1,120.8638318,86.30165435
624,NH,37,no,no,0,206,89,186,88,307.1,86,8.4,11,0,FALSE,0,127.7510663,145.2642141
625,IA,98,no,no,0,216.8,86,190.8,114,187.5,79,11,9,0,FALSE,0,33.74970555,87.01760926
626,WV,121,no,no,0,103.3,110,129.1,82,167.1,113,10.7,3,0,FALSE,1,143.8496919,97.16376286
627,RI,94,no,no,0,139.4,95,159.1,92,128.2,129,7.7,3,0,FALSE,1,120.3933571,91.90809818
628,KS,99,no,no,0,191.2,110,163.9,102,243.6,114,14.1,3,1,FALSE,0,64.30882292,83.84911996
629,MT,163,no,yes,23,160,104,189.4,64,229.9,118,10.4,7,1,FALSE,1,102.749631,87.54958311
630,MO,161,no,no,0,221.7,95,193,82,194.1,113,6.5,4,3,FALSE,0,65.4335903,108.1061592
631,HI,99,no,no,0,62.9,81,231,64,168.9,121,8.5,5,1,FALSE,1,173.4018202,96.39893633
632,CO,108,no,no,0,215.6,78,195.3,119,194.4,65,3.6,5,1,FALSE,0,47.99639235,91.95826222
633,CT,84,no,yes,42,165.3,97,223.5,118,260.8,72,7.6,7,3,FALSE,1,101.5128867,85.45728525
634,ID,83,yes,yes,32,94.7,111,154.4,98,200.4,109,10.6,6,2,FALSE,1,138.0724924,75.41825596
635,DC,139,no,no,0,203.2,81,152.5,99,197.8,76,9.7,3,2,FALSE,0,67.77750739,99.05265702
636,TN,69,no,no,0,195.3,70,216.7,108,259.9,119,12.5,4,3,FALSE,0,84.76316137,96.68009728
637,WY,129,no,no,0,143.7,114,297.8,98,212.6,86,11.4,8,4,FALSE,1,135.367721,99.07106108
638,MO,106,no,no,0,114.4,104,78.3,101,232.7,78,0,0,2,FALSE,1,163.9928397,137.4577325
639,VA,158,no,no,0,222.8,101,203,128,210.6,106,6.9,2,2,FALSE,0,65.78787441,108.188786
640,SD,168,no,yes,22,175.9,70,211.7,105,174.5,81,7.3,5,2,FALSE,1,95.81858593,91.12587516
641,WV,115,yes,no,0,249.9,95,242.5,104,151.7,121,15.3,6,1,TRUE,0,79.09023371,130.3463303
642,GA,57,yes,yes,30,234.5,130,195.2,116,268.8,94,11.4,4,2,FALSE,0,91.42313467,133.3886492
643,AK,127,no,no,0,182.3,124,169.9,110,184,116,9.3,3,1,FALSE,0,64.57195892,73.35489507
644,AK,78,no,no,0,190.3,88,194.5,89,256.5,109,11.7,5,2,FALSE,0,71.47247775,83.78693085
645,CT,100,no,yes,38,177.1,88,163.7,108,242.7,72,7.4,2,0,FALSE,0,81.72839729,84.75861708
646,UT,103,no,yes,36,87.2,92,169.3,110,166.7,80,10.9,5,6,TRUE,1,146.5808953,80.23232031
647,KY,113,no,no,0,215.6,96,193.4,127,105.4,115,13.5,3,1,FALSE,0,101.6059331,127.961283
648,MI,78,no,no,0,137.4,109,237.6,49,206.7,136,14,11,3,FALSE,1,117.5947257,74.74275028
649,OR,129,no,yes,36,192.8,103,177,83,216.5,118,16.4,5,1,FALSE,0,60.84157691,81.0865229
650,TN,57,no,no,0,149.3,100,200.2,110,231.7,101,11.9,3,2,FALSE,1,91.94359262,56.25928337
651,WV,82,no,no,0,143.7,116,170.7,99,287.7,95,7.8,5,1,FALSE,1,122.6554617,98.73261562
652,NJ,64,no,no,0,224.8,111,190,101,221.4,110,9.2,2,1,FALSE,0,45.82685401,99.52463997
653,MS,86,no,yes,39,261.2,122,214.2,101,154.9,101,12.7,5,2,FALSE,0,75.1936303,137.8249145
654,ME,151,no,yes,26,196.5,98,175.8,111,221.8,124,13.4,5,0,FALSE,0,70.98057044,92.92487655
655,WY,94,no,no,0,271.2,105,202.6,105,221.6,51,11.5,3,3,TRUE,0,73.49247544,144.4382052
656,WY,90,no,no,0,207.2,121,292.5,104,226.3,103,8,1,2,FALSE,0,105.719278,116.2330137
657,IN,48,no,no,0,300.4,94,133.2,103,197.4,94,7.2,5,2,FALSE,0,112.9149291,186.3265613
658,NM,85,no,yes,37,229.6,123,132.3,90,211.9,76,9.5,8,2,FALSE,0,79.50660072,128.3327615
659,NJ,93,yes,yes,20,187.5,110,169.8,94,175.3,127,12.1,4,1,FALSE,0,59.77093642,74.45576992
660,DC,169,yes,no,0,57.1,98,199.7,78,274.7,103,6.5,6,3,FALSE,1,195.2680116,132.6277063
661,KY,91,yes,no,0,145,89,175.8,102,223.7,151,16.7,3,2,TRUE,1,99.29275574,67.1694644
662,KS,68,no,no,0,159.5,123,240.8,93,210.3,76,11.4,3,1,FALSE,1,92.2277221,62.83656566
663,MI,101,no,no,0,190.7,72,208.6,103,203.8,111,8.8,8,1,FALSE,0,47.38616472,61.75891967
664,UT,67,no,yes,20,230.6,40,189.1,58,162.2,115,9.4,2,1,FALSE,0,92.39343204,131.0020805
665,NE,66,no,no,0,34,133,278.6,61,129.6,120,11.5,3,0,FALSE,1,228.091716,158.214839
666,FL,116,no,yes,17,193.4,112,240.6,131,248.1,98,11.4,3,5,FALSE,0,81.55974306,89.79637556
667,LA,158,no,no,0,202,126,163.5,86,195.4,84,10.4,6,1,FALSE,0,76.44851311,103.3490541
668,MT,78,no,no,0,191.7,122,241.4,88,203.5,86,9.1,5,1,FALSE,0,67.6153643,74.03603519
669,WA,119,no,yes,26,161.3,97,250.3,110,142.4,92,6.6,8,1,FALSE,1,105.5466492,81.48238436
670,MI,120,no,no,0,150.6,85,119,128,232.9,123,6.4,2,1,FALSE,1,117.8633224,105.0218168
671,LA,106,no,no,0,220.7,120,270.2,95,121.6,113,8.7,5,1,FALSE,0,112.6925291,133.1256608
672,NM,87,yes,no,0,167.3,119,198.5,119,133.1,88,11,6,1,FALSE,1,93.49714801,80.43790108
673,AL,146,no,yes,32,154,80,185.5,91,148.2,107,8.2,4,3,FALSE,1,103.5448724,81.71802532
674,MO,101,no,yes,29,121.1,116,186.4,100,241.7,75,10.1,6,0,FALSE,1,115.5606217,61.66348932
675,CO,22,no,yes,23,182.1,94,164.6,59,128.8,102,12.7,4,3,FALSE,0,126.094543,129.51452
676,TX,90,no,no,0,109.6,88,137.6,108,159.7,121,11,5,2,FALSE,1,136.067032,89.38751054
677,NY,41,no,no,0,209.9,105,121.9,105,253.7,104,9.6,4,1,FALSE,0,109.2033546,137.4950365
678,WY,33,no,no,0,213.9,88,239.8,119,148.7,71,9.8,14,2,FALSE,0,104.5648298,124.0285883
679,UT,112,no,no,0,115.8,108,243.3,111,184.6,78,13.1,5,1,FALSE,1,122.0755946,54.00028853
680,LA,108,no,yes,30,276.6,99,220.1,113,177.9,95,9.8,6,2,FALSE,0,69.52236778,143.9538753
681,NV,136,no,yes,21,179.4,88,181.1,97,320.7,120,9.5,4,2,FALSE,0,135.7345476,138.2790652
682,NC,128,no,no,0,187.3,84,270.8,95,206.4,68,10.1,5,1,FALSE,1,96.0479995,93.57007917
683,TN,33,no,yes,35,186.8,124,261,69,317.8,103,15,5,0,FALSE,1,162.3312007,161.3815021
684,FL,120,no,yes,31,153.5,83,219.1,96,237.4,76,11.4,4,0,FALSE,1,92.31628208,60.49254719
685,CA,113,no,no,0,187.6,97,208.2,118,158.9,101,8.7,6,2,FALSE,0,60.88596202,68.82851974
686,WV,148,no,yes,26,244.9,150,118,138,236,91,15.2,4,2,FALSE,0,118.8150439,165.7696382
687,NJ,74,no,no,0,230.9,93,223,78,157.8,101,9.7,2,3,FALSE,0,63.83367492,109.3958404
688,MT,106,no,no,0,187.1,104,250.2,117,144.9,81,11,3,1,FALSE,1,90.72315299,89.90831957
689,WI,149,yes,yes,28,126.9,97,166.9,102,145.2,77,8.8,3,5,TRUE,1,127.5318074,90.06837208
690,ID,77,no,no,0,189.5,112,207,95,214.1,91,9.2,7,0,FALSE,0,48.1296644,61.02098129
691,MA,127,yes,no,0,176.9,110,167.9,100,182.2,138,7.7,2,1,TRUE,0,73.81638977,75.94991368
692,OR,80,no,no,0,161.1,99,198.8,81,228.4,116,10.6,4,1,FALSE,1,75.52473607,50.0828707
693,MT,106,no,no,0,169.4,107,197.2,71,202.2,79,10.7,4,1,FALSE,1,65.26824907,50.52469315
694,AL,61,no,yes,20,254.4,133,161.7,96,251.4,91,10.5,4,0,FALSE,0,86.8832497,145.5410827
695,ND,135,yes,yes,24,127.7,54,215,105,234.3,84,5.8,4,2,FALSE,1,120.1083612,72.68190406
696,LA,115,no,yes,26,170.5,107,217.2,77,225.7,71,13.6,5,6,FALSE,1,76.37855844,62.40763172
697,ND,167,yes,no,0,219.1,100,242.9,90,168.9,101,10.1,4,2,FALSE,0,89.04820699,116.6773859
698,MS,107,yes,no,0,273.5,104,183.8,68,153.8,67,11,9,2,FALSE,0,84.57230496,152.8831028
699,WV,112,yes,no,0,161.9,138,200.9,114,134,134,10.7,4,1,FALSE,1,105.5850255,89.36123446
700,WI,35,no,yes,27,241.7,87,142,101,288.9,68,9.4,4,1,FALSE,0,129.511423,169.4057587
701,KS,103,yes,no,0,62.8,124,170.4,66,280.2,78,9.4,4,3,FALSE,1,186.287396,125.4018091
702,PA,69,no,no,0,228.2,70,263.7,80,142.6,60,10.7,5,3,FALSE,0,110.4866995,136.2120298
703,SD,85,no,no,0,209.8,82,194.5,94,200.4,85,11.3,3,0,FALSE,0,32.79602161,78.78762444
704,NJ,24,no,no,0,265.6,86,208.8,102,182.5,105,11.1,6,2,TRUE,0,92.73238649,150.4756197
705,ME,137,no,no,0,110.5,79,223.2,111,169.5,64,10.5,3,3,FALSE,1,132.6310284,72.25258552
706,VT,38,no,no,0,137.8,86,286.3,76,167,77,14.1,3,2,FALSE,1,148.7377777,111.8818013
707,NV,69,yes,yes,33,271.5,98,253.4,102,165.4,85,8.2,2,1,TRUE,0,94.93507885,151.8652713
708,WI,45,no,no,0,112.8,108,218.8,120,240.2,106,9,3,2,FALSE,1,133.7365542,76.94193863
709,HI,73,no,no,0,187.3,118,239.7,90,167.5,108,15.1,2,1,FALSE,0,75.89543396,76.61807787
710,DE,92,no,no,0,197,84,269.3,105,158.9,105,10.8,4,1,FALSE,0,92.09140885,97.43501463
711,AZ,113,no,yes,32,180.4,89,129.4,124,166.9,124,8.4,2,1,FALSE,0,95.72570932,104.7322197
712,VA,68,yes,no,0,148.5,126,219.4,125,198.5,121,14.5,7,1,TRUE,1,94.94454082,55.68013208
713,GA,135,no,yes,22,197.1,113,259.4,95,134.7,135,14.6,5,2,FALSE,0,109.8177966,115.9740282
714,AZ,100,no,yes,26,153.7,115,137.8,146,213.5,104,15.9,5,1,FALSE,1,103.9036925,89.11723691
715,MN,96,no,yes,27,261.3,96,220.9,101,179.4,97,11.3,2,1,FALSE,0,55.53296363,127.7361209
716,FL,84,no,no,0,191,88,318.8,119,247.3,79,6.5,4,0,FALSE,1,141.2622345,137.3534747
717,WA,134,no,no,0,208.3,86,253.6,89,291,86,12.6,3,1,FALSE,0,116.4426678,131.4232137
718,MT,72,no,no,0,253,73,219.3,78,210.8,89,9.8,4,0,FALSE,0,62.49457431,125.3935113
719,AL,83,no,no,0,202.3,87,201.5,111,101.7,82,6.8,4,0,FALSE,0,106.1535067,121.4807524
720,WV,137,no,no,0,174.4,120,156.3,98,136.5,121,10.2,5,0,FALSE,0,100.5437619,101.2345265
721,GA,56,no,yes,30,127.1,89,172.1,116,194.6,111,12.1,3,1,FALSE,1,112.5309735,65.05276785
722,OH,61,yes,yes,16,143.5,76,242.6,58,147.7,95,11.3,3,0,FALSE,1,124.3318454,89.0988468
723,DE,171,no,yes,17,186.9,94,240,138,200.9,64,5.8,3,1,FALSE,0,105.4852233,107.2359766
724,NE,123,no,no,0,194,118,242,114,146.3,108,12.1,4,1,FALSE,0,84.71000997,92.02930827
725,FL,58,no,no,0,234.8,89,106.8,131,178.5,122,9.9,6,0,FALSE,0,108.5323328,152.4747023
726,AK,156,no,no,0,123.7,96,103,80,189.4,82,13.1,4,1,FALSE,1,148.6826013,122.9232211
727,WI,166,no,no,0,173.9,103,276.4,83,190.8,113,15.3,5,0,FALSE,1,118.4053482,105.9367874
728,WA,75,no,yes,41,130.9,115,203.4,110,171.7,68,12.4,4,1,FALSE,1,111.4473266,62.44154091
729,KY,75,no,no,0,314.6,102,169.8,86,285.1,100,5.7,3,2,TRUE,0,130.9601288,202.1570664
730,OH,83,no,no,0,227.9,78,207.5,115,211.7,100,12.1,5,1,FALSE,0,37.73457118,96.51034584
731,UT,243,no,no,0,95.5,92,163.7,63,264.2,118,6.6,6,2,FALSE,1,207.8438887,173.978728
732,NM,153,no,no,0,185.3,127,208,73,206.1,124,15.1,3,1,FALSE,0,80.36485483,85.6591807
733,MN,150,no,no,0,146.3,133,202.7,95,234.7,103,13.1,3,1,FALSE,1,103.1508583,71.32852596
734,MN,80,no,no,0,105.8,110,43.9,88,189.6,87,13.1,5,0,FALSE,1,193.1576429,168.9934401
735,AL,134,no,no,0,178,110,153.8,64,236.6,105,11.7,4,1,FALSE,0,86.72265744,92.26334601
736,DE,147,no,no,0,209.4,104,132.5,78,149.4,123,11.3,3,2,FALSE,0,99.38628665,128.8225175
737,MO,74,no,no,0,172.1,105,211.7,99,182.2,105,11.6,6,1,FALSE,1,63.50567411,47.78488604
738,IL,138,yes,no,0,169.3,82,217.9,147,184.2,77,9.4,9,1,FALSE,1,90.3904103,77.18921567
739,HI,64,no,no,0,194.2,147,173.4,87,268.7,114,5.5,2,2,FALSE,0,99.37079473,114.1619226
740,ME,120,no,no,0,198.8,56,230.1,73,119.8,81,9.9,3,2,FALSE,0,109.0041213,118.9907021
741,CO,121,yes,no,0,167.7,94,93.7,121,241.3,115,13.4,1,3,TRUE,0,126.438899,129.2158634
742,NH,88,no,no,0,202.2,86,216.8,93,239.4,99,11.8,2,2,FALSE,0,53.9683264,79.24578469
743,SC,87,no,no,0,322.5,106,204.6,93,186.2,128,9.4,4,2,TRUE,0,106.9496965,188.3083936
744,IN,100,no,no,0,216.2,107,215.6,84,138.4,127,10.2,3,0,FALSE,0,74.13709915,105.4780093
745,FL,104,no,no,0,76.4,116,115.6,74,226.3,94,9.4,3,3,FALSE,1,171.0907497,117.7643062
746,GA,27,no,no,0,72.7,75,208.6,117,65.8,71,9.9,3,1,FALSE,1,219.4004029,170.8413932
747,IL,81,no,yes,31,210.4,100,225.5,97,168.7,120,9.7,4,0,FALSE,0,59.16578942,88.92591349
748,NC,64,yes,yes,33,127.2,93,162.9,104,247.4,109,8.1,13,0,FALSE,1,120.3996827,80.2847535
749,VT,107,no,yes,28,201.8,79,304.9,128,225.6,133,11.9,8,1,FALSE,0,126.7616783,131.0626839
750,DC,88,no,yes,17,219.5,78,222.1,94,188.3,92,16.1,5,1,FALSE,0,42.6325599,88.81438555
751,VT,111,no,no,0,99.3,112,270.5,136,225.3,94,9,6,3,FALSE,1,152.3918765,88.49228627
752,NV,77,no,no,0,239.2,114,150,115,160.8,81,10.3,2,5,FALSE,0,72.37682121,128.1552361
753,OR,67,yes,no,0,120.9,58,235,88,95.1,130,11.4,11,2,FALSE,1,165.1107368,126.389626
754,AL,102,no,no,0,224.7,81,129.4,112,167.6,109,15.8,6,1,FALSE,0,77.54575408,123.666524
755,ND,146,no,yes,19,176.6,88,162.7,66,215.5,98,14.6,6,1,FALSE,0,82.76775054,85.76756645
756,FL,144,no,yes,51,283.9,98,192,109,196.3,85,10,4,1,FALSE,0,88.3618594,160.6007942
757,NE,96,no,no,0,180.6,92,190.9,114,295.6,125,10.3,4,1,TRUE,0,108.4602203,110.6828122
758,ND,70,no,yes,31,125.9,101,196.4,102,252.7,75,10.3,4,1,FALSE,1,118.9992881,71.34031732
759,ME,149,no,no,0,237.6,79,192.4,107,207.4,111,9.1,9,0,FALSE,0,57.51031019,115.776498
760,IL,129,no,no,0,198.4,91,264.7,106,111.4,101,9.2,2,2,FALSE,0,120.3972898,126.0277748
761,WA,166,no,no,0,274.3,110,52.9,109,246.1,119,10.9,5,0,FALSE,0,172.0222576,222.6954552
762,KS,149,no,no,0,217.7,91,273.5,74,226.9,99,9.6,3,3,FALSE,0,100.6941765,121.9321194
763,MO,120,no,yes,24,212.7,73,257.5,103,227.8,119,9.7,13,2,FALSE,0,81.55069641,104.1021789
764,IA,66,no,no,0,256.3,135,180.2,106,187.3,135,6.2,7,2,FALSE,0,72.77429681,136.6064979
765,WY,104,no,no,0,183.6,133,120.7,98,215.1,112,12.7,2,1,FALSE,0,91.96919697,105.5195249
766,NV,160,no,no,0,176.2,90,196,115,263.9,95,9.2,4,1,FALSE,1,100.2858894,98.95589889
767,WI,129,no,yes,37,205,94,165.4,103,185,81,11.7,8,1,FALSE,0,58.74147742,92.87011969
768,AL,93,no,no,0,267.9,114,223,74,262.7,90,11.3,3,3,TRUE,0,88.42125819,149.280739
769,HI,169,no,no,0,179.2,111,175.2,130,228.6,92,9.9,6,2,FALSE,0,93.77899357,97.6972916
770,MO,58,no,no,0,149.4,145,196.5,105,209.5,108,14.9,3,1,FALSE,1,97.20129846,65.41784712
771,CA,75,no,yes,38,163.6,132,146.7,113,345.8,115,13.1,3,3,FALSE,1,172.5997665,169.1304587
772,CT,155,no,no,0,165.4,108,183.7,103,80.2,108,8.9,4,3,FALSE,1,145.0508173,137.4405236
773,MD,52,no,no,0,209.8,114,171.3,82,154.6,119,9.9,9,4,FALSE,0,78.66865274,108.3958757
774,OH,119,no,yes,27,220.1,128,268.2,133,146.5,80,11.1,3,0,FALSE,0,106.4375308,128.1254558
775,NV,86,no,no,0,141.3,72,154.3,95,210.6,91,8.2,5,1,FALSE,1,97.48815813,63.40644239
776,MD,42,no,no,0,196.5,89,241.3,123,143.2,105,4,7,0,FALSE,0,102.1797145,109.1184869
777,NE,127,yes,no,0,180.9,114,209.5,118,249.9,105,7.4,4,2,FALSE,0,75.32346424,75.97507528
778,OH,123,no,no,0,105,150,251.6,90,258,93,14.9,5,0,FALSE,1,153.5701947,98.86809358
779,MA,98,no,no,0,271.4,119,190.4,102,284.7,118,11.1,6,4,TRUE,0,101.086307,161.7407182
780,OK,149,no,yes,43,206.7,79,174.6,122,241.5,80,10.9,3,1,FALSE,0,84.73828907,112.106343
781,MA,160,no,no,0,166.8,109,236,117,307.6,77,9.3,1,1,FALSE,1,143.9438006,134.0294641
782,WA,103,no,no,0,204.9,107,135.2,102,208.2,106,10.4,3,5,FALSE,0,63.5203348,99.59563763
783,CO,137,no,no,0,127,107,323.2,75,143.9,127,7.5,2,1,FALSE,1,178.2682269,140.2276586
784,FL,129,yes,no,0,267.4,78,204.2,85,111.7,146,5.9,4,1,FALSE,0,117.3764318,168.4767066
785,WI,62,no,no,0,281,66,160.6,108,77.9,74,0,0,1,FALSE,0,152.411021,202.4541873
786,ID,122,no,yes,33,270.8,96,220.4,110,169.9,104,11.8,8,4,FALSE,0,72.01929572,141.7849067
787,WY,32,no,no,0,171.2,82,185.6,102,203.3,64,10.2,7,1,FALSE,1,95.65340906,88.35508081
788,GA,86,no,no,0,124.1,82,202.6,120,289.6,119,6.7,8,3,FALSE,1,138.1246288,98.09204977
789,FL,130,no,no,0,162.8,113,290.3,111,114.9,140,7.2,3,1,FALSE,1,151.5528253,133.0124484
